pdf,Title,page,case_No,last_page
a1,Orebaugh v. Neu,1000,75,1004.0
a1,People v. Baff,1005,76,1010.0
a1,United States v. Colgate & Co.,1011,77,1016.0
a1,United States v. United States Steel Corp.,1017,78,1038.0
a1,United States v. American Column & Lumber Co.,1039,79,1046.0
a1,United States v. United Shoe Machinery Co.,1047,80,1074.0
a1,United States v. Reading Co.,1075,81,1095.0
a1,McMaster v. Ford Motor Co.,1096,82,1100.0
a1,"Coca-Cola Co. v. Vivian Ice, Light & Water Co.",1101,83,1107.0
a1,Washington Cranberry Growers Ass'n v. Moore,1108,84,1115.0
a1,Griffin v. Palatine Ins. Co.,1116,85,1121.0
a1,Overland Publishing Co. v. Union Lithograph Co.,1122,86,1129.0
a1,"Federal Baseball Club, Inc. v. National League of Professional Baseball Clubs",1130,87,1135.0
a1,Federal Trade Com. v. P. Lorillard Co.,1136,88,1146.0
a1,Columbus Packing Co. v. State,1147,89,1152.0
a1,People v. Apostolos,1153,90,1154.0
a1,Hurt v. Brandt,1155,91,1159.0
a1,State v. P. Lorillard Co.,1160,92,1178.0
a1,State ex rel. Thompson v. Nashville R. & L. Co.,1179,93,1190.0
a1,State ex rel. Griffith v. Anthony Wholesale Grocery Co.,1191,94,1202.0
a1,A. B. Small Co. v. Lamborn & Co.,1203,95,1208.0
a1,Vandell v. United States,1209,96,1212.0
a1,Mission v. Richards,1213,97,1216.0
a1,McConnon & Co. v. Ralston,1217,98,1219.0
a1,Gano v. Delmas,1220,99,1226.0
a1,United States v. GE Co.,1227,100,
a10,"Yoder Bros., Inc. v. California-Florida Plant Corp.",21,1,64.0
a10,Douglas v. Hospital of St. Raphael,65,2,72.0
a10,"Ohio v. Ohio Medical Indem., Inc.",73,3,80.0
a10,Richard's Lumber & Supply Co. v. United States Gypsum Co.,81,4,84.0
a10,"South-West Utilities, Inc. v. South Cent. Bell Tel. Co.",85,5,91.0
a10,"Finlay & Associates, Inc. v. Borg-Warner Corp.",92,6,105.0
a10,Mackey v. NFL,106,7,125.0
a10,In re Sugar Industry Antitrust Litigation,126,8,167.0
a10,Evans v. S. S. Kresge Co.,168,9,182.0
a10,SmithKline Corp. v. Eli Lilly & Co.,183,10,227.0
a10,Manasen v. California Dental Services,228,11,239.0
a10,In re Clark Oil & Refining Corp. Antitrust Litigation,240,12,254.0
a10,Rea Express v. Ala. G. S. R. Co.,255,13,271.0
a10,United States v. Mrs. Smith's Pie Co.,272,14,283.0
a10,"Fair Housing Council, Inc. v. Eastern Bergen County Multiple Listing Service, Inc.",284,15,299.0
a10,"Krutsinger v. Mead Foods, Inc.",300,16,307.0
a10,United States v. American Tel. & Tel. Co.,308,17,315.0
a10,"Knutson v. Daily Review, Inc.",316,18,337.0
a10,"Timberlane Lumber Co. v. Bank of America, N.T. & S.A.",338,19,356.0
a10,"Guerine v. J & W Invest., Inc.",357,20,360.0
a10,"Health Corp. of America, Inc. v. New Jersey Dental Asso.",361,21,365.0
a10,Gutierrez v. E. & J. Gallo Winery Co.,366,22,374.0
a10,"Weinberg v. Federated Dep't Stores, Inc.",375,23,380.0
a10,Hunt v. Mobil Oil Corp.,381,24,395.0
a10,United States v. United States Gypsum Co.,396,25,428.0
a10,"Industria Siciliana Asfalit, Biutmi, S.p.A. v. Exxon Research & Engineering Co.",429,26,451.0
a10,Mortensen v. First Fed. Sav. & Loan Ass'n,452,27,471.0
a10,Warden v. Younger,472,28,479.0
a10,Bd. of Regents v. Nat'l Collegiate Ath. Ass'n,480,29,495.0
a10,"Krutsinger v. Mead Foods, Inc.",496,30,499.0
a10,"Bravman v. Bassett Furniture Industries, Inc.",500,31,519.0
a10,Pacific Engineering & Production Co. v. Kerr-McGee Corp.,520,32,531.0
a10,Perfect Subscription Co. v. Kavaler,532,33,540.0
a10,"United States Steel Corp. v. Fortner Enterprises, Inc.",541,34,551.0
a10,United States v. Forsythe,552,35,569.0
a10,"R. D. ANDERSEN CONSTR. CO. v. KANSAS SAND & CONCRETE, INC.",570,36,596.0
a10,United States v. Alton Box Board Co.,597,37,636.0
a10,"Chateau de Ville Productions, Inc. v. Tams-Witmark Music Library, Inc.",637,38,641.0
a10,"Mobilfone of Northeastern Pennsylvania, Inc. v. Commonwealth Tel. Co.",642,39,646.0
a10,"Cardinal of Adrian, Inc. v. Keystone Consol. Indus.",647,40,654.0
a10,United States v. National Soc. of Professional Engineers,655,41,660.0
a10,Arkla Air Conditioning Co. v. Famous Supply Co.,661,42,664.0
a10,Lawyer's Realty Corp. v. Peninsular Title Ins. Co.,665,43,669.0
a10,"Thomas v. Petro-Wash, Inc.",670,44,678.0
a10,Wolfson v. Artisans Sav. Bank,679,45,688.0
a10,Reiter v. Sonotone Corp.,689,46,693.0
a10,Black v. Nationwide Mut. Ins. Co.,694,47,702.0
a10,Commerce Tankers Corp. v. National Maritime Union,703,48,713.0
a10,United States v. National Broiler Marketing Asso.,714,49,725.0
a10,In re Nissan Motor Corp. Antitrust Litigation,726,50,731.0
a10,"M.A.P. Oil Co. v. Texaco, Inc.",732,51,737.0
a10,"State v. Lawn King, Inc.",738,52,758.0
a10,Altemose Constr. Co. v. Building & Constr. Trades Council,759,53,772.0
a10,Barry v. St. Paul Fire & Marine Ins. Co.,773,54,784.0
a10,"BOC International, Ltd. v. Federal Trade Com.",785,55,793.0
a10,"Las Vegas Sun, Inc. v. Summa Corp.",794,56,808.0
a10,"McLain v. Real Estate Bd., Inc.",809,57,812.0
a10,"Heatransfer Corp. v. Volkswagenwerk, A. G.",813,58,844.0
a10,"United States v. Nu-Phonics, Inc.",845,59,852.0
a10,Cont'l T.V. v. GTE Sylvania,853,60,875.0
a10,Vendo Co. v. Lektro-Vend Corp.,876,61,900.0
a10,"Golf City, Inc. v. Wilson Sporting Goods Co.",901,62,914.0
a10,United States v. S. Motor Carriers Rate Conf.,915,63,937.0
a10,"Newport Terminals, Inc. v. Sunset Terminals, Inc.",938,64,951.0
a10,Vaughn & Co. v. Saul,952,65,961.0
a10,"Du Pont Glore Forgan, Inc. v. AT&T",962,66,998.0
a10,Pomanowski v. Monmouth County Board of Realtors,999,67,1003.0
a10,State ex rel. Nesbitt v. Apco Oil Corp.,1004,68,1007.0
a10,United States Dental Institute v. American Asso. of Orthodontists,1008,69,1013.0
a10,Adolph Coors Co. v. A & S Wholesalers,1014,70,1022.0
a10,"Duplan Corp. v. Deering Milliken, Inc.",1023,71,1153.0
a10,Alexander v. National Football League,1154,72,1183.0
a10,CBS v. American Soc'y of Composers,1184,73,1195.0
a10,Royal Drug Co. v. Group Life & Health Ins. Co.,1196,74,1207.0
a10,"Elfman Motors, Inc. v. Chrysler Corp.",1208,75,1222.0
a10,In re Midwest Milk Monopolization Litigation,1223,76,1225.0
a10,Fairfax v. Fairfax Hospital Asso.,1226,77,1235.0
a10,Admiral Theatre Corp. v. Douglas Theatre Co.,1236,78,1265.0
a10,Evanston Motor Co. v. Mid-Southern Toyota Distribs.,1266,79,1272.0
a10,United States v. Noll Mfg. Co.,1273,80,1274.0
a10,Oreck Corp. v. Whirlpool Corp.,1275,81,1287.0
a10,"Wilmorite, Inc. v. Eagan Real Estate, Inc.",1288,82,1305.0
a10,Wobb v. Ford Motor Co.,1306,83,1311.0
a10,In re Coordinated Pretrial Proceedings etc.,1312,84,1314.0
a10,Linseman v. World Hockey Asso.,1315,85,1327.0
a10,McGuire v. Singer Co.,1328,86,1333.0
a10,Lee-Moore Oil Co. v. Union Oil Co.,1334,87,1342.0
a10,"Redwing Carriers, Inc. v. McKenzie Tank Lines, Inc.",1343,88,1351.0
a10,"In re Bob Brest Buick, Inc.",1352,89,1354.0
a10,Bazal v. Belford Trucking Co.,1355,90,1372.0
a10,"Consolidated Express, Inc. v. New York Shipping Asso.",1373,91,1392.0
a10,"Hecht v. Pro-Football, Inc.",1393,92,1409.0
a10,Nelson v. Utah County,1410,93,1413.0
a10,"Star Lines, Ltd. v. Puerto Rico Maritime Shipping Authority",1414,94,1422.0
a10,"Pfizer, Inc. v. Gov't of India",1423,95,1440.0
a10,"Georgia Franchise Practices Com. v. Massey-Ferguson, Inc.",1441,96,1442.0
a10,In re Coordinated Pretrail Proceedings etc.,1443,97,1446.0
a10,"New Jersey Chiropractic Soc. v. Radiological Soc. of New Jersey, etc.",1447,98,1451.0
a10,United States v. National Broadcasting Co.,1452,99,1470.0
a10,Blatt v. Lorenz Schneider Co.,1471,100,
a2,Paterson Parchment Paper Co. v. Story Parchment Co.,21,1,29.0
a2,Guiterman v. Pennsylvania R. Co.,30,2,38.0
a2,Ploog v. Roberts Dairy Co.,39,3,42.0
a2,Independent Gas & Oil Co. v. T. B. Smith Co.,43,4,50.0
a2,CLOVER MEADOW CREAMERY v. NATIONAL DAIRY PRODS. CO.,51,5,66.0
a2,D?vila v. Dist. Court of Mayag?ez,67,6,69.0
a2,American Equipment Co. v. Tuthill Bldg. Material Co.,70,7,75.0
a2,Arrow-Hart & Hegeman Electric Co. v. FTC,76,8,86.0
a2,United Theatres v. Dist. Court of San Juan,87,9,91.0
a2,Glass v. Hoblitzelle,92,10,100.0
a2,"Wm. Filene's Sons Co. v. Fashion Originators' Guild, Inc.",101,11,109.0
a2,"Virginian R. Co. v. System Federation No. 40, etc.",110,12,128.0
a2,Puerto Rico v. Shell Co.,129,13,144.0
a2,"Blake v. Paramount Pictures, Inc.",145,14,151.0
a2,General Talking Pictures Corp. v. De Marce,152,15,157.0
a2,Twin Ports Oil Co. v. Pure Oil Co.,158,16,173.0
a2,"H. Lipman & Sons v. Brotherhood of Painters, etc.",174,17,181.0
a2,United States v. American Medical Asso.,182,18,186.0
a2,People v. Shell Co. P.R.,187,19,194.0
a2,Lechler Labs. v. Duart Mfg. Co.,195,20,197.0
a2,United States v. ALCOA,198,21,285.0
a2,United States v. ALCOA,286,22,377.0
a2,United States v. ALCOA,378,23,440.0
a2,Leonard v. Socony-Vacuum Oil Co.,441,24,443.0
a2,Roseland v. Phister Mfg. Co.,444,25,447.0
a2,United States v. Atlantic Com. Co.,448,26,457.0
a2,American Medical Ass'n v. United States,458,27,477.0
a2,Martin Bros. Box Co. v. Commissioner,478,28,484.0
a2,United States v. New York Great Atlantic & Pacific Tea Co.,485,29,497.0
a2,United States v. W. Union Tel. Co.,498,30,513.0
a2,United States v. Spokane Fuel Dealers Credit Asso.,514,31,519.0
a2,Cummer-Graham Co. v. Straight Side Basket Corp.,520,32,523.0
a2,United States v. South-Eastern Underwriters Ass'n,524,33,558.0
a2,United States v. San Francisco Electrical Contractors Ass'n,559,34,572.0
a2,United States v. Crescent Amusement Co.,573,35,588.0
a2,Hartford-Empire Co. v. United States,589,36,629.0
a2,Hartford-Empire Co. v. United States,630,37,637.0
a2,Harper v. Brennan,638,38,658.0
a2,United States Alkali Export Ass'n v. United States,659,39,674.0
a2,Philadelphia Record Co. v. Manufacturing Photo-Engravers Ass'n,675,40,680.0
a2,United States v. United States Gypsum Co.,681,41,798.0
a2,Hercules Powder Co. v. Rohm & Haas Co.,799,42,806.0
a2,"H. E. Swezey & Son Motor Transp., Inc. v. Reich Bros. Long Island Motor Freight, Inc.",807,43,810.0
a2,MacGregor v. Westinghouse Electric & Mfg. Co.,811,44,818.0
a2,Transparent-Wrap Machine Corp. v. Stokes & Smith Co.,819,45,829.0
a2,State ex rel. Cullitan v. Greater Cleveland Livery Owners Ass'n,830,46,836.0
a2,Clayton v. Farish,837,47,855.0
a2,Std. Oil Co. v. Clark,856,48,875.0
a2,United States v. Griffith,876,49,885.0
a2,"United States v. National City Lines, Inc.",886,50,904.0
a2,Mayer Bros. Poultry Farms v. Meltzer,905,51,916.0
a2,"Burnham Chemical Co. v. Borax Consol., Ltd.",917,52,927.0
a2,United States v. Yellow Cab Co.,928,53,935.0
a2,Ford Motor Co. v. United States,936,54,950.0
a2,United States v. Greater Kansas City Chapter Nat'l Electrical Contractors Asso.,951,55,955.0
a2,United States v. GE,956,56,1008.0
a2,North American Philips Co. v. Brownshield,1009,57,1012.0
a2,Rosner v. Globe Valve Corp.,1013,58,1015.0
a2,Giboney v. Empire Storage & Ice Co.,1016,59,1026.0
a2,Standard Oil Co. v. United States,1027,60,1045.0
a2,"Davis Co. v. Baker-Cammack Hosiery Mills, Inc.",1046,61,1053.0
a2,United States v. United States Alkali Export Ass'n,1054,62,1077.0
a2,United States v. Inter-Island Steam Nav. Co.,1078,63,1093.0
a2,"Superior Dairy, Inc. v. Stark County Milk Producers' Ass'n",1094,64,1101.0
a2,Forstmann Woolen Co. v. Murray Sices Corp.,1102,65,1106.0
a2,"Paramount Pictures, Inc. v. Rodney",1107,66,1116.0
a2,Staebler-Kempf Oil Co. v. Mac's Auto. Mart,1117,67,1120.0
a2,Bucky v. Sebo,1121,68,1124.0
a2,General Electric Co. v. R. H. Macy & Co.,1125,69,1134.0
a2,"Best Motor Lines v. International Brotherhood of Teamsters, etc.",1135,70,1148.0
a2,"American Can Co. v. Bruce's Juices, Inc.",1149,71,1154.0
a2,"Glen Raven Knitting Mills, Inc. v. Sanson Hosiery Mills, Inc.",1155,72,1164.0
a2,Moore v. Mead Service Co.,1165,73,1169.0
a2,State v. Fairbanks-Morse & Co.,1170,74,1180.0
a2,SCHWARZ v. GAF,1181,75,1185.0
a2,Elgin Nat. Watch Co. v. Bulova Watch Co.,1186,76,1188.0
a2,Interborough News Co. v. Curtis Publ. Co.,1189,77,1191.0
a2,"Apgar Travel Agency, Inc. v. International Air Transport Ass'n",1192,78,1201.0
a2,"National Used Car Market Report, Inc. v. National Auto. Dealers Ass'n",1202,79,1204.0
a2,Reid v. Doubleday & Co.,1205,80,1216.0
a2,Singer v. Hollander & Son,1217,81,1223.0
a2,People v. Bldg. Maint. Contractors Ass'n,1224,82,1238.0
a2,Obear-Nester Glass Co. v. Commissioner,1239,83,1247.0
a2,United States v. Detroit Sheet Metal & Roofing Contractors Asso.,1248,84,1257.0
a2,United States v. Morgan,1258,85,1358.0
a2,"Leonia Amusement Corp. v. Loew's, Inc.",1359,86,1376.0
a2,Ex parte Rice,1377,87,1385.0
a2,United States v. E. I. du Pont de Nemours & Co.,1386,88,1496.0
a2,United States v. E. I. du Pont de Nemours & Co.,1497,89,1606.0
a2,Las Vegas Merchant Plumbers Asso. v. United States,1607,90,1625.0
a2,Apex Elec. Mfg. Co. v. Altorfer Bros. Co.,1626,91,1633.0
a2,United States v. International Boxing Club,1634,92,1644.0
a2,International Brotherhood of Electrical Workers v. United States,1645,93,1647.0
a2,Lyons v. Westinghouse Electric Corp.,1648,94,1659.0
a2,Karseal Corp. v. Richfield Oil Corp.,1660,95,1668.0
a2,"State ex rel. Dalton v. Miles Laboratories, Inc.",1669,96,1683.0
a2,United States v. Twentieth Century-Fox Film Corp.,1684,97,1739.0
a2,Gomberg v. Midvale Co.,1740,98,1749.0
a2,Eastman Kodak Co. v. Home Utilities Co.,1750,99,1764.0
a2,United States v. Crown Zellerbach Corp.,1765,100,
a3,United States v. Northern P. R. Co.,21,1,27.0
a3,"Adams Dairy, Inc. v. Burke",28,2,40.0
a3,United States v. Krasnov,41,3,58.0
a3,Newburgh Moire Co. v. Superior Moire Co.,59,4,68.0
a3,County Theatre Co. v. Paramount Film Distributing Corp.,69,5,70.0
a3,Nashville Milk Co. v. Carnation Co.,71,6,75.0
a3,Walder v. Paramount Publix Corp.,76,7,89.0
a3,Ben Hur Coal Co. v. Wells,90,8,94.0
a3,Rossi v. McCloskey & Co.,95,9,98.0
a3,General Electric Co. v. Masters Mail Order Co.,99,10,110.0
a3,G. D. Searle & Co. v. Institutional Drug Distribs.,111,11,120.0
a3,Hess v. Anderson,121,12,139.0
a3,"Congress Bldg. Corp. v. Loew's, Inc.",140,13,150.0
a3,Sperry Rand Corp. v. Nassau Research & Dev. Assocs.,151,14,156.0
a3,"Farbenfabriken Bayer, A. G. v. Sterling Drug, Inc.",157,15,161.0
a3,A. B. C. Distributing Co. v. Distillers Distributing Corp.,162,16,177.0
a3,State by Clark v. Wolkoff,178,17,190.0
a3,"Noerr Motor Freight, Inc. v. Eastern R. Presidents Conference",191,18,251.0
a3,"Banana Distributors, Inc. v. United Fruit Co.",252,19,262.0
a3,United States v. Bethlehem Steel Corp.,263,20,266.0
a3,"Miller Motors, Inc. v. Ford Motor Co.",267,21,275.0
a3,Yonce v. Miners Memorial Hospital Ass'n,276,22,286.0
a3,"American Union Transport, Inc. v. United States",287,23,293.0
a3,"Banana Distributors, Inc. v. United Fruit Co.",294,24,311.0
a3,Crummer Co. v. Du Pont,312,25,319.0
a3,In re Special 1952 Grand Jury,320,26,325.0
a3,United States v. Shubert,326,27,328.0
a3,Dollac Corp. v. Margon Corp.,329,28,355.0
a3,Walder v. Paramount Publix Corp.,356,29,357.0
a3,United States v. Maryland & Virginia Milk Producers Asso.,358,30,365.0
a3,"Goldlawr, Inc. v. Shubert",366,31,380.0
a3,"INTERNATIONAL BOXING CLUB OF NEW YORK, INC. v. UNITED STATES",381,32,400.0
a3,Johnson & Johnson v. G. E. M. Sundries Co.,401,33,411.0
a3,UNITED STATES v. RCA,412,34,427.0
a3,Ludwig v. American Greetings Corp.,428,35,432.0
a3,"Jewel Tea Co. v. Local Union No. 189, Amalgamated Meat Cutters",433,36,436.0
a3,"Englander Motors, Inc. v. Ford Motor Co.",437,37,441.0
a3,"Cameron Iron Works, Inc. v. Edward Valves, Inc.",442,38,456.0
a3,Atlas Bldg. Products Co. v. Diamond Block & Gravel Co.,457,39,465.0
a3,"Federal Trade Com. v. Hunt Foods & Industries, Inc.",466,40,475.0
a3,United States v. Brown Shoe Co.,476,41,495.0
a3,"Radiant Burners, Inc. v. Peoples Gas, Light & Coke Co.",496,42,500.0
a3,"Noerr Motor Freight, Inc. v. Eastern R. Presidents Conference",501,43,512.0
a3,Minneapolis & S. L. R. Co. v. United States,513,44,530.0
a3,Reliable Volkswagen Sales & Service Co. v. World-Wide Auto. Corp.,531,45,547.0
a3,United States v. Parke,548,46,566.0
a3,United States v. St. Regis Paper Co.,567,47,573.0
a3,United States v. Westinghouse Elec. Corp.,574,48,580.0
a3,"Messner v. Journeymen Barbers, etc.",581,49,606.0
a3,"Remington Arms Co. v. G. E. M. of St. Louis, Inc.",607,50,615.0
a3,"North Carolina Theatres, Inc. v. Thompson",616,51,621.0
a3,"United States v. Fish Smokers Trade Council, Inc.",622,52,630.0
a3,United States v. Columbia Pictures Corp.,631,53,635.0
a3,Maryland & Virginia Milk Producers Ass'n v. United States,636,54,649.0
a3,Wexler v. Greenberg,650,55,657.0
a3,"International Brotherhood of Teamsters, etc. v. Oliver",658,56,660.0
a3,Plymouth Dealers' Asso. v. United States,661,57,668.0
a3,"Lehmann Trading Corp. v. J & H Stolow, Inc.",669,58,672.0
a3,In re Grand Jury Investigation of Shipping Industry,673,59,696.0
a3,Parmelee Transp. Co. v. Keeshin,697,60,712.0
a3,FTC v. Washington Fish & Oyster Co.,713,61,717.0
a3,Rogers v. American Can Co.,718,62,724.0
a3,"Sunkist Growers, Inc. v. Winckler & Smith Citrus Products Co.",725,63,756.0
a3,United States v. Lake Asphalt & Petroleum Co.,757,64,760.0
a3,McElhenney Co. v. Western Auto Supply Co.,761,65,761.0
a3,United States v. Allied Chem. Corp.,762,66,764.0
a3,"Huntington Imported Cars, Inc. v. Standard-Triumph Motor Co.",765,67,768.0
a3,"Union Leader Corp. v. Newspapers of New England, Inc.",769,68,776.0
a3,"United States v. Bituminous Concrete Assn., Inc.",777,69,780.0
a3,"Hunt Foods & Industries, Inc. v. Federal Trade Com.",781,70,793.0
a3,"State by Clark v. Applebaums Food Markets, Inc.",794,71,807.0
a3,Simpson v. Union Oil Co.,808,72,813.0
a3,United States v. Gasoline Retailers Asso.,814,73,818.0
a3,Associated Beverages Co. v. P. Ballantine & Sons,819,74,823.0
a3,Bruner v. Republic Acceptance Corp.,824,75,830.0
a3,Page v. Work,831,76,843.0
a3,"United States v. Pan American World Airways, Inc.",844,77,875.0
a3,Fleet-Wing Corp. v. Pease Oil Co.,876,78,882.0
a3,"Banana Distributors, Inc. v. United Fruit Co.",883,79,895.0
a3,California v. Federal Power Com.,896,80,903.0
a3,"Climatic Air Distributors v. Climatic Air Sales, Inc.",904,81,908.0
a3,United States v. White Motor Co.,909,82,933.0
a3,"Samuel Goldwyn Productions, Inc. v. Fox West Coast Theatres Corp.",934,83,948.0
a3,United States v. E. I. du Pont de Nemours & Co.,949,84,980.0
a3,Young v. Motion Picture Asso.,981,85,985.0
a3,Gottesman v. General Motors Corp.,986,86,988.0
a3,"Englander Motors, Inc. v. Ford Motor Co.",989,87,994.0
a3,Sun Oil Co. v. Federal Trade Com.,995,88,1016.0
a3,K. S. Corp. v. Chemstrand Corp.,1017,89,1022.0
a3,"Alexander's Dep't Stores, Inc. v. E. J. Korvette, Inc.",1023,90,1025.0
a3,Wright v. Phillips,1026,91,1029.0
a3,Dairy Foods v. Dairy Maid Prods. Coop.,1030,92,1036.0
a3,Siegfried v. Kansas City Star Co.,1037,93,1045.0
a3,United States v. Philadelphia Nat'l Bank,1046,94,1072.0
a3,"United States v. North American Van Lines, Inc.",1073,95,1080.0
a3,Grand Union Co. v. FTC,1081,96,1092.0
a3,Scott Paper Co. v. FTC,1093,97,1098.0
a3,Friedman v. United States Trunk Co.,1099,98,1101.0
a3,California v. Federal Power Comm'n,1102,99,1116.0
a3,United States v. Singer Mfg. Co.,1117,100,
a4,"Heavy, Highway Bldg. & Constr. Teamsters Committee v. Superior Court of San Francisco",21,1,26.0
a4,Banana Distribs. v. United Fruit Co.,27,2,33.0
a4,"News, Inc. v. Lindsay Newspapers, Inc.",34,3,36.0
a4,Susser v. Carvel Corp.,37,4,53.0
a4,Rogers v. Am. Can Co.,54,5,75.0
a4,Futurecraft Corp. v. Clary Corp.,76,6,96.0
a4,"Golden Fuel Service, Inc. v. Esso Standard Oil Co.",97,7,100.0
a4,Leh v. General Petroleum Corp.,101,8,108.0
a4,Denison Mattress Factory v. Spring-Air Co.,109,9,121.0
a4,Stalker Corp. v. United States,122,10,128.0
a4,Commonwealth Edison Co. v. Allis-Chalmers Mfg. Co.,129,11,146.0
a4,United States v. Loew's,147,12,163.0
a4,Public Service Co. v. Federal Pacific Electric Co.,164,13,168.0
a4,"Intermountain Ford Tractor Sales Co. v. Massey-Ferguson, Ltd.",169,14,177.0
a4,United States v. General Electric Co.,178,15,179.0
a4,Convertible Top Replacement Co. v. Aro Mfg. Co.,180,16,186.0
a4,Shuman v. Bernie's Drug Concessions,187,17,192.0
a4,Shasta Douglas Oil Co. v. Work,193,18,198.0
a4,White Motor Co. v. United States,199,19,218.0
a4,International Shoe Machine Corp. v. United Shoe Machinery Corp.,219,20,231.0
a4,United States v. Ingersoll-Rand Co.,232,21,256.0
a4,United States v. Penn-Olin Chemical Co.,257,22,285.0
a4,De Martini v. Department of Alcoholic Beverage Control,286,23,309.0
a4,"Union Leader Corp. v. Newspapers of New England, Inc.",310,24,312.0
a4,United States v. Philadelphia Nat'l Bank,313,25,360.0
a4,Viking Theatre Corp. v. Paramount Film Distributing Corp.,361,26,376.0
a4,United States v. FMC Corp.,377,27,383.0
a4,Cohon v. Department of Alcoholic Beverage Control,384,28,394.0
a4,Petition of Gold Bond Stamp Co.,395,29,402.0
a4,Highland Supply Corp. v. Reynolds Metals Co.,403,30,406.0
a4,Commonwealth Edison Co. v. Allis-Chalmers Mfg. Co.,407,31,413.0
