pdf,Title,Court,Date,No,page,Court_level,Argued,Decided,Others
a1,Standard Oil Co. v. United States,Supreme Court of the United States,"Argued March 14, 15, 16, 1910; restored to docket for reargument April 11, 1910; reargued January 12, 13, 16, 17,1911.  ; May 15, 1911, Decided",No Number in Original,700,Supreme,1910/3/14,1911/5/15,1910/04/11
a1,United States v. Union P. R. Co.,"Circuit Court, D. Utah",24-Jun-11,No. 993,759,Circuit,,,2011/06/24
a1,Larabee Flour Mills Co. v. Missouri P. R. Co.,Supreme Court of Kansas,"July, 1911, Decided ; July 7, 1911, Filed","No. 15,167.",771,Supreme,,1911/7/1,1911/07/07
a1,Dukate v. Adams,Supreme Court of Mississippi,"March, 1912, Decided",No Number in Original,780,Supreme,,1912/3/1,
a1,Smith v. Morganton Ice Co.,Supreme Court of North Carolina,"May 15, 1912, Filed",No Number in Original,786,Supreme,,,1912/05/15
a1,United States v. Union P. R. Co.,Supreme Court of the United States,"Argued April 19, 22, 23, 1912.  ; December 2, 1912, Decided",No. 446.,791,Supreme,,1912/12/2,
a1,United States v. Lake Shore & M. S. R. Co.,"District Court, S.D. Ohio, E.D.",28-Dec-12,"No. 1,584",812,District,,,2012/12/28
a1,United States v. Great Lakes Towing Co.,"District Court, N.D. Ohio, E.D.",11-Feb-13,"No. 8,003",836,District,,,2013/02/11
a1,Robert H. Ingersoll & Bro. v. McColl,"District Court, D. Minnesota, Third Division",17-Mar-13,No Number in Original,847,District,,,2013/03/17
a1,State ex rel. Jones v. Mallinckrodt Chemical Works,Supreme Court of Missouri,"April 28, 1913, Decided",No Number in Original,854,Supreme,,1913/4/28,
a1,Continental Sec. Co. v. Interborough Rapid Transit Co.,"District Court, S.D. New York",2-Jun-13,No. 2-214; No. 4-5,879,District,,,2013/06/02
a1,Standard Oil Co. v. State,Supreme Court of Mississippi,"March, 1914, Decided",No Number in Original,886,Supreme,,1914/3/1,
a1,International Harvester Co. v. Kentucky,Supreme Court of the United States,"Argued April 24, 1914 ; June 22, 1914",No. 298,897,Supreme,1914/4/24,,1914/06/22
a1,Co-operative Live Stock Com. Co. v. Browning,Supreme Court of Missouri,"July 2, 1914, Decided",No Number in Original,900,Supreme,,1914/7/2,
a1,State ex rel. Moose v. Frank,Supreme Court of Arkansas,"July 13, 1914, Opinion Delivered",No Number in Original,914,Supreme,,,1914/07/13
a1,McCall Co. v. O'Neil,"Court of Common Pleas of Franklin County, Ohio","November 12, 1914, Decided",No Number in Original,920,Common Pleas,,1914/11/12,
a1,Guyton v. Eastern Electric Co.,Supreme Court of Ohio,"November 24, 1914, Decided",No. 13916,929,Supreme,,1914/11/24,
a1,United States v. Rockefeller,"District Court, S.D. New York",16-Apr-15,No Number in Original,933,District,,,2015/04/16
a1,State ex rel. Barker v. Armour Packing Co.,Supreme Court of Missouri,"May 3, 1915, Decided",No Number in Original,935,Supreme,,1915/5/3,
a1,Munter v. Eastman Kodak Co.,"Court of Appeal of California, Third Appellate District","October 26, 1915, Decided",Civ. No. 1349,962,Appeal,,1915/10/26,
a1,"Frey & Son, Inc. v. Cudahy Packing Co.","District Court, D. Maryland",9-Dec-15,No Number in Original,969,District,,,2015/12/09
a1,Bogata Mercantile Co. v. Outcault Advertising Co.,"Court of Civil Appeals of Texas, Texarkana","January 13, 1916, Decided",No. 1528.,974,Civil Appeals,,1916/1/13,
a1,Woods v. Am. Brewing Ass'n,"Court of Civil Appeals of Texas, Beaumont","January 20, 1916, Decided",No. 57.,979,Civil Appeals,,1916/1/20,
a1,Henry Gildehaus Co. v. Busse & Borgman Co.,"Court of Common Pleas of Hamilton County, Ohio","November, 1916, Decided",No Number in Original,997,Common Pleas,,1916/11/1,
a1,Orebaugh v. Neu,"Court of Appeals of Ohio, Fourth Appellate District, Adams County","January 24, 1917, Decided",No Number in Original,1000,Appeal,,1917/1/24,
a1,People v. Baff,"Court of General Sessions of the Peace, In and for the County of New York","April, 1917",No Number in Original,1005,General,,,1917/04/01
a1,United States v. Colgate & Co.,Supreme Court of the United States,"Argued March 10, 1919.  ; June 2, 1919, Decided",No. 828.,1011,Supreme,1919/3/10,1919/6/2,
a1,United States v. United States Steel Corp.,Supreme Court of the United States,"Argued March 9, 12-14, 1917; restored to docket for reargument May 21, 1917; reargued October 7-10, 1919 ;March 1, 1920",No. 6,1017,Supreme,1917/3/9,,"1917/05/21, 2010/10/07, 1920/03/01"
a1,United States v. American Column & Lumber Co.,"District Court, W.D. Tennessee, W.D.",16-Mar-20,No. 751,1039,District,,,2020/03/16
a1,United States v. United Shoe Machinery Co.,"District Court, E.D. Missouri",31-Mar-20,No. 4489,1047,District,,,2020/03/31
a1,United States v. Reading Co.,Supreme Court of the United States,"Argued October 10, 11, 1916; restored to docket for reargument May 21, 1917; reargued November 20, 21, 1917;restored to docket for reargument June 10, 1918; reargued October 7, 1919 ; April 26, 1920","Nos. 3, 4",1075,Supreme,2011/10/10,,"1917/05/21, 2021/11/20, 1918/06/10, 1919/10/07, 1920/04/26"
a1,McMaster v. Ford Motor Co.,Supreme Court of South Carolina,"May 19, 1920, Decided",19267,1096,Supreme,,1920/5/19,
a1,"Coca-Cola Co. v. Vivian Ice, Light & Water Co.",Supreme Court of Louisiana,"May 31, 1920, Decided",No. 22686,1101,Supreme,,1920/5/31,
a1,Washington Cranberry Growers Ass'n v. Moore,"Supreme Court of Washington, Department Two",5-Nov-21,No. 16418,1108,Supreme,,,2021/11/05
a1,Griffin v. Palatine Ins. Co.,Court of Appeals of Texas,"March 8, 1922, Decided",No. 187-3232.,1116,Appeal,,1922/3/8,
a1,Overland Publishing Co. v. Union Lithograph Co.,"Court of Appeal of California, First Appellate District, Division Two","April 18, 1922, Decided",Civ. No. 4127,1122,Appeal,,1922/4/18,
a1,"Federal Baseball Club, Inc. v. National League of Professional Baseball Clubs",Supreme Court of the United States,"Argued April 19, 1922. ; May 29, 1922, Decided",No. 204.,1130,Supreme,1922/4/19,1922/5/29,
a1,Federal Trade Com. v. P. Lorillard Co.,"District Court, S.D. New York",3-Oct-22,No Number in Original,1136,District,,,2022/10/03
a1,Columbus Packing Co. v. State,Supreme Court of Ohio,"December 29, 1922, Decided",No. 17445,1147,Supreme,,1922/12/29,
a1,People v. Apostolos,Supreme Court of Colorado,"March 5, 1923, Decided","No. 10,289, No. 10,290.",1153,Supreme,,1923/3/5,
a1,Hurt v. Brandt,Supreme Court of Idaho,"May 24, 1923, Decided",No Number in Original,1155,Supreme,,1923/5/24,
a1,State v. P. Lorillard Co.,Supreme Court of Wisconsin,"April 6, 1923, Argued ; October 16, 1923, Decided",No Number in Original,1160,Supreme,1923/4/6,1923/10/16,
a1,State ex rel. Thompson v. Nashville R. & L. Co.,"Supreme Court of Tennessee, Nashville","December, 1924, Decided",No Number in Original,1179,Supreme,,1924/12/1,
a1,State ex rel. Griffith v. Anthony Wholesale Grocery Co.,Supreme Court of Kansas,"January, 1925, Decided ; April 11, 1925, Filed","No. 23,098.",1191,Supreme,,1925/1/1,1925/04/11
a1,A. B. Small Co. v. Lamborn & Co.,Supreme Court of the United States,"October 21, 22, 1924, Argued ; March 2, 1925, Decided",No. 100,1203,Supreme,2022/10/21,1925/3/2,
a1,Vandell v. United States,"Circuit Court of Appeals, Second Circuit",2-Mar-25,No. 100,1209,Circuit,,,1925/03/02
a1,Mission v. Richards,Court of Appeals of Texas,"June 10, 1925, Decided",No. 7379,1213,Appeal,,1925/6/10,
a1,McConnon & Co. v. Ralston,Court of Appeals of Texas,"June 18, 1925, Decided",No. 3098,1217,Appeal,,1925/6/18,
a1,Gano v. Delmas,"Supreme Court of Mississippi, Division B","October 19, 1925, Decided",No. 25035.,1220,Supreme,,1925/10/19,
a1,United States v. GE Co.,Supreme Court of the United States,"October 13, 1926, Argued ; November 23, 1926, Decided",No. 113,1227,Supreme,1926/10/13,1926/11/23,
a2,Paterson Parchment Paper Co. v. Story Parchment Co.,"Circuit Court of Appeals, First Circuit",23-Jan-30,No. 2372,21,Circuit,,,1930/01/23
a2,Guiterman v. Pennsylvania R. Co.,"District Court, E.D. New York",31-Mar-31,No. 5382,30,District,,,1931/03/31
a2,Ploog v. Roberts Dairy Co.,Supreme Court of Nebraska,"February 11, 1932, Filed",No. 28100.,39,Supreme,,,1932/02/11
a2,Independent Gas & Oil Co. v. T. B. Smith Co.,Supreme Court of Idaho,"April 1, 1932, Decided",No. 5777.,43,Supreme,,1932/4/1,
a2,CLOVER MEADOW CREAMERY v. NATIONAL DAIRY PRODS. CO.,"State of Ohio, Court of Common Pleas, Cuyahoga County","April 5, 1932, Decided",No Number in Original,51,Common Pleas,,1932/4/5,
a2,D?vila v. Dist. Court of Mayag?ez,Supreme Court of Puerto Rico,"March 9, 1931, Argued; May 27, 1932, Decided",No. 52.,67,Supreme,1931/3/9,1932/5/27,
a2,American Equipment Co. v. Tuthill Bldg. Material Co.,"Circuit Court of Appeals, Seventh Circuit",1-Feb-34,No. 4948,70,Circuit,,,1934/02/01
a2,Arrow-Hart & Hegeman Electric Co. v. FTC,Supreme Court of the United States,"February 8, 1934, Argued ; March 12, 1934, Decided",No. 363,76,Supreme,1934/2/8,1934/3/12,
a2,United Theatres v. Dist. Court of San Juan,Supreme Court of Puerto Rico,"July 20, 1934, Argued; December 10, 1934, Decided",No. 986.,87,Supreme,1934/7/20,1934/12/10,
a2,Glass v. Hoblitzelle,"Court of Civil Appeals of Texas, Dallas","April 6, 1935, Decided",No. 11961,92,Civil Appeals,,1935/4/6,
a2,"Wm. Filene's Sons Co. v. Fashion Originators' Guild, Inc.","District Court, D. Massachusetts",24-Mar-36,No. 4293,101,District,,,1936/03/24
a2,"Virginian R. Co. v. System Federation No. 40, etc.","Circuit Court of Appeals, Fourth Circuit",18-Jun-36,No. 4005,110,Circuit,,,1936/06/18
a2,Puerto Rico v. Shell Co.,Supreme Court of the United States,"November 9, 1937, Argued ; December 6, 1937, Decided",No. 18,129,Supreme,1937/11/9,1937/12/6,
a2,"Blake v. Paramount Pictures, Inc.","District Court, S.D. California, Central Division",31-Jan-38,No. 8173-Y,145,District,,,1938/01/31
a2,General Talking Pictures Corp. v. De Marce,Supreme Court of Minnesota,"May 27, 1938.","No. 31,302.",152,Supreme,,,1938/05/27
a2,Twin Ports Oil Co. v. Pure Oil Co.,"District Court, D. Minnesota, Fourth Division",25-Jan-39,No. 4000,158,District,,,1939/01/25
a2,"H. Lipman & Sons v. Brotherhood of Painters, etc.","Court of Appeals of Ohio, First Appellate District, Hamilton County","July 3, 1939, Decided",No Number in Original,174,Appeal,,1939/7/3,
a2,United States v. American Medical Asso.,District Court of the United States for the District of Columbia,26-Jul-39,No. 63221,182,District,,,1939/07/26
a2,People v. Shell Co. P.R.,Supreme Court of Puerto Rico,"May 12, 1939, Argued; February 6, 1940, Decided",No. 7482.,187,Supreme,1939/5/12,1940/2/6,
a2,Lechler Labs. v. Duart Mfg. Co.,United States District Court for the Southern District of New York,1-Oct-40,No Number in Original,195,District,,,1940/10/01
a2,United States v. ALCOA,United States District Court for the Southern District of New York,"September 30, 1941; October 1-10, 1941",Eq. No. 85-73,198,District,,,"1941/09/30, 2010/10/01"
a2,United States v. ALCOA,United States District Court for the Southern District of New York,"September 30, 1941; October 1-10, 1941",Eq. No. 85-73,286,District,,,"1941/09/30, 2010/10/01"
a2,United States v. ALCOA,United States District Court for the Souther District of New York,"September 30, 1941; October 1-10, 1941",Eq. No. 85-73,378,District,,,"1941/09/30, 2010/10/01"
a2,Leonard v. Socony-Vacuum Oil Co.,"District Court, W.D. Wisconsin",8-Jan-42,No. 132,441,District,,,1942/01/08
a2,Roseland v. Phister Mfg. Co.,United States Court of Appeals for the Seventh Circuit,5-Feb-42,No. 7778,444,Appeal,,,1942/02/05
a2,United States v. Atlantic Com. Co.,"District Court, E.D. North Carolina, Wilson Division",14-May-42,No. 1710,448,District,,,1942/05/14
a2,American Medical Ass'n v. United States,United States Court of Appeals for the District of Columbia,15-Jun-42,"Nos. 7929, 7930",458,Appeal,,,1942/06/15
a2,Martin Bros. Box Co. v. Commissioner,United States Tax Court,22-Apr-43,Docket No. 110397.,478,,,,1943/04/22
a2,United States v. New York Great Atlantic & Pacific Tea Co.,United States Court of Appeals for the Fifth Circuit,30-Jul-43,No. 10603,485,Appeal,,,1943/07/30
a2,United States v. W. Union Tel. Co.,United States District Court for the Southern District of New York,16-Sep-43,No Number in Original,498,District,,,1943/09/16
a2,United States v. Spokane Fuel Dealers Credit Asso.,"District Court, E.D. Washington, N.D.",17-Apr-44,No. C-7641,514,District,,,1944/04/17
a2,Cummer-Graham Co. v. Straight Side Basket Corp.,United States Court of Appeals for the Fifth Circuit,9-May-44,No. 10756,520,Appeal,,,1944/05/09
a2,United States v. South-Eastern Underwriters Ass'n,Supreme Court of the United States,"January 11, 1944, Argued ; June 5, 1944, Decided",No. 354,524,Supreme,1944/1/11,1944/6/5,
a2,United States v. San Francisco Electrical Contractors Ass'n,"District Court, N.D. California, S.D.",5-Sep-44,No. 26893-R,559,District,,,1944/09/05
a2,United States v. Crescent Amusement Co.,Supreme Court of the United States,"November 6, 7, 1944, Argued ; December 11, 1944, Decided",Nos. 17; 18,573,Supreme,2007/11/6,1944/12/11,
a2,Hartford-Empire Co. v. United States,Supreme Court of the United States,"November 15, 16, 17, 18, 1943, Argued ; January 8, 1945, Decided",No. 2,589,Supreme,,1945/1/8,
a2,Hartford-Empire Co. v. United States,Supreme Court of the United States,"April 2, 1945, Decided",No. 2,630,Supreme,,1945/4/2,
a2,Harper v. Brennan,Supreme Court of Michigan,"Submitted June 14, 1944.  Calendar No. 42,749.  ; Decided May 14, 1945.  Rehearing denied June 29, 1945.",Docket No. 58,638,Supreme,,,
a2,United States Alkali Export Ass'n v. United States,Supreme Court of the United States,"May 1, 2, 1945, Argued ; May 21, 1945, Decided",No. 1016,659,Supreme,1945/5/1,1945/5/21,
a2,Philadelphia Record Co. v. Manufacturing Photo-Engravers Ass'n,United States Court of Appeals for the Third Circuit,"March 18, 1946, Argued ; May 17, 1946, Decided",No. 9082,675,Appeal,1946/3/18,1946/5/17,
a2,United States v. United States Gypsum Co.,United States District Court for the District of Columbia,15-Jun-46,Civil No. 8017,681,District,,,1946/06/15
a2,Hercules Powder Co. v. Rohm & Haas Co.,United States District Court for the District of Delaware,9-Jul-46,Civ. A. No. 301,799,District,,,1946/07/09
a2,"H. E. Swezey & Son Motor Transp., Inc. v. Reich Bros. Long Island Motor Freight, Inc.","Supreme Court of New York, Special Term, Suffolk County",23-Jul-46,No Number in Original,807,Supreme,,,1946/07/23
a2,MacGregor v. Westinghouse Electric & Mfg. Co.,Supreme Court of the United States,"November 14, 1946, Reargued ; January 6, 1947, Decided",No. 28,811,Supreme,,1947/1/6,1946/11/14
a2,Transparent-Wrap Machine Corp. v. Stokes & Smith Co.,Supreme Court of the United States,"January 7, 8, 1947, Argued ; February 3, 1947, Decided",No. 208,819,Supreme,1947/1/7,1947/2/3,
a2,State ex rel. Cullitan v. Greater Cleveland Livery Owners Ass'n,"State of Ohio, Court of Common Pleas, Cuyahoga County","April 2, 1947, Decided","No. 568,635",830,Common Pleas,,1947/4/2,
a2,Clayton v. Farish,"Supreme Court of New York, Special Term, New York County",29-Aug-47,No Number in Original,837,Supreme,,,1947/08/29
a2,Std. Oil Co. v. Clark,United States Court of Appeals for the Second Circuit,22-Sep-47,"No. 185, Docket 20406",856,Appeal,,,1947/09/22
a2,United States v. Griffith,Supreme Court of the United States,"December 15, 1947, Argued ; May 3, 1948, Decided",No. 64,876,Supreme,1947/12/15,1948/5/3,
a2,"United States v. National City Lines, Inc.",Supreme Court of the United States,"April 28, 1948, Argued ; June 7, 1948, Decided",No. 544,886,Supreme,1948/4/28,1948/6/7,
a2,Mayer Bros. Poultry Farms v. Meltzer,"Supreme Court of New York, Appellate Division First Department",30-Jun-48,No Number in Original,905,Supreme,,,1948/06/30
a2,"Burnham Chemical Co. v. Borax Consol., Ltd.",United States Court of Appeals for the Ninth Circuit,27-Oct-48,No. 11766,917,Appeal,,,1948/10/27
a2,United States v. Yellow Cab Co.,"United States District Court for the Northern District of Illinois, Eastern Division",1-Nov-48,No. 46 C 1339,928,District,,,1948/11/01
a2,Ford Motor Co. v. United States,Supreme Court of the United States,"October 11, 1948, Argued ; November 15, 1948, Decided",No. 1,936,Supreme,1948/10/11,1948/11/15,
a2,United States v. Greater Kansas City Chapter Nat'l Electrical Contractors Asso.,"United States District Court for the Western District of Missouri, Southern Division",18-Jan-49,No. 5287,951,District,,,1949/01/18
a2,United States v. GE,United States District Court for the District of New Jersey,19-Jan-49,Civ. A. No.  1364,956,District,,,1949/01/19
a2,North American Philips Co. v. Brownshield,United States District Court for the Southern District of New York,31-Jan-49,No Number in Original,1009,District,,,1949/01/31
a2,Rosner v. Globe Valve Corp.,"Supreme Court of New York, Appellate Division First Department",29-Mar-49,No Number in Original,1013,Supreme,,,1949/03/29
a2,Giboney v. Empire Storage & Ice Co.,Supreme Court of the United States,"January 4, 1949, Argued ; April 4, 1949, Decided",No. 182,1016,Supreme,1949/1/4,1949/4/4,
a2,Standard Oil Co. v. United States,Supreme Court of the United States,"March 3-4, 1949, Argued ; June 13, 1949, Decided",No. 279,1027,Supreme,1949/3/3,1949/6/13,
a2,"Davis Co. v. Baker-Cammack Hosiery Mills, Inc.",United States District Court for the Middle District of North Carolina,12-Aug-49,"Civ. Nos. 342, 401",1046,District,,,1949/08/12
a2,United States v. United States Alkali Export Ass'n,United States District Court for the Southern District of New York,12-Aug-49,Civ. No. 24-464,1054,District,,,1949/08/12
a2,United States v. Inter-Island Steam Nav. Co.,United States District Court for the District of Hawaii,10-Jan-50,No. 887,1078,District,,,1950/01/10
a2,"Superior Dairy, Inc. v. Stark County Milk Producers' Ass'n","Court of Appeals of Ohio, Fifth Appellate District, Stark County","June 14, 1950, Decided",No. 2397,1094,Appeal,,1950/6/14,
a2,Forstmann Woolen Co. v. Murray Sices Corp.,United States District Court for the Southern District of New York,26-Jun-50,Civ. No. 52-124,1102,District,,,1950/06/26
a2,"Paramount Pictures, Inc. v. Rodney",United States Court of Appeals for the Third Circuit,"June 7, 1950, Argued ; December 6, 1950, Decided",Nos. 10174-10177,1107,Appeal,1950/6/7,1950/12/6,
a2,Staebler-Kempf Oil Co. v. Mac's Auto. Mart,Supreme Court of Michigan,"October 10, 1950, Submitted; Calendar No. 44,844;  January 8, 1951, Decided",Docket No. 66,1117,Supreme,,1951/1/8,1950/10/10
a2,Bucky v. Sebo,"Supreme Court of New York, Special Term, New York County",11-Jan-51,No Number in Original,1121,Supreme,,,1951/01/11
a2,General Electric Co. v. R. H. Macy & Co.,"Supreme Court of New York, Special Term, New York County",16-Jan-51,No Number in Original,1125,Supreme,,,1951/01/16
a2,"Best Motor Lines v. International Brotherhood of Teamsters, etc.",Supreme Court of Texas,"February 21, 1951, Decided",No. A-2739,1135,Supreme,,1951/2/21,
a2,"American Can Co. v. Bruce's Juices, Inc.",United States Court of Appeals for the Fifth Circuit,30-Mar-51,No. 13037,1149,Appeal,,,1951/03/30
a2,"Glen Raven Knitting Mills, Inc. v. Sanson Hosiery Mills, Inc.",United States Court of Appeals for the Fourth Circuit,"April 6, 1951, Argued ; May 11, 1951, Decided",No. 6218,1155,Appeal,1951/4/6,1951/5/11,
a2,Moore v. Mead Service Co.,United States Court of Appeals for the Tenth Circuit,26-Jun-51,No. 4055,1165,Appeal,,,1951/06/26
a2,State v. Fairbanks-Morse & Co.,Court of Civil Appeals of Texas,"March 7, 1952; Original Opinion October 26, 1951",No. 14401,1170,Civil Appeals,,,"1952/03/07, 1951/10/26"
a2,SCHWARZ v. GAF,"Supreme Court of New York, Appellate Division, Fourth Department",22-Apr-52,No Number in Original,1181,Supreme,,,1952/04/22
a2,Elgin Nat. Watch Co. v. Bulova Watch Co.,"Supreme Court of New York, Special Term, New York County",21-May-52,No Number in Original,1186,Supreme,,,1952/05/21
a2,Interborough News Co. v. Curtis Publ. Co.,United States District Court for the Southern District of New York.,"July 1, 1952.",Civil 54-209.,1189,District,,,1952/07/01
