pdf,Title,Court,Date,No,page
a1,Orebaugh v. Neu,"Court of Appeals of Ohio, Fourth Appellate District, Adams County","January 24, 1917, Decided",No Number in Original,1000
a1,People v. Baff,"Court of General Sessions of the Peace, In and for the County of New York","April, 1917",No Number in Original,1005
a1,United States v. Colgate & Co.,Supreme Court of the United States,"Argued March 10, 1919.  ; June 2, 1919, Decided",No. 828.,1011
a1,United States v. United States Steel Corp.,Supreme Court of the United States,"Argued March 9, 12-14, 1917; restored to docket for reargument May 21, 1917; reargued October 7-10, 1919 ;March 1, 1920",No. 6,1017
a1,United States v. American Column & Lumber Co.,"District Court, W.D. Tennessee, W.D.",16-Mar-20,No. 751,1039
a1,United States v. United Shoe Machinery Co.,"District Court, E.D. Missouri",31-Mar-20,No. 4489,1047
a1,United States v. Reading Co.,Supreme Court of the United States,"Argued October 10, 11, 1916; restored to docket for reargument May 21, 1917; reargued November 20, 21, 1917;restored to docket for reargument June 10, 1918; reargued October 7, 1919 ; April 26, 1920","Nos. 3, 4",1075
a1,McMaster v. Ford Motor Co.,Supreme Court of South Carolina,"May 19, 1920, Decided",19267,1096
a1,"Coca-Cola Co. v. Vivian Ice, Light & Water Co.",Supreme Court of Louisiana,"May 31, 1920, Decided",No. 22686,1101
a1,Washington Cranberry Growers Ass'n v. Moore,"Supreme Court of Washington, Department Two",5-Nov-21,No. 16418,1108
a1,Griffin v. Palatine Ins. Co.,Court of Appeals of Texas,"March 8, 1922, Decided",No. 187-3232.,1116
a1,Overland Publishing Co. v. Union Lithograph Co.,"Court of Appeal of California, First Appellate District, Division Two","April 18, 1922, Decided",Civ. No. 4127,1122
a1,Federal Trade Com. v. P. Lorillard Co.,"District Court, S.D. New York",3-Oct-22,No Number in Original,1136
a1,Columbus Packing Co. v. State,Supreme Court of Ohio,"December 29, 1922, Decided",No. 17445,1147
a1,People v. Apostolos,Supreme Court of Colorado,"March 5, 1923, Decided","No. 10,289, No. 10,290.",1153
a1,Hurt v. Brandt,Supreme Court of Idaho,"May 24, 1923, Decided",No Number in Original,1155
a1,State v. P. Lorillard Co.,Supreme Court of Wisconsin,"April 6, 1923, Argued ; October 16, 1923, Decided",No Number in Original,1160
a1,State ex rel. Thompson v. Nashville R. & L. Co.,"Supreme Court of Tennessee, Nashville","December, 1924, Decided",No Number in Original,1179
a1,State ex rel. Griffith v. Anthony Wholesale Grocery Co.,Supreme Court of Kansas,"January, 1925, Decided ; April 11, 1925, Filed","No. 23,098.",1191
a1,A. B. Small Co. v. Lamborn & Co.,Supreme Court of the United States,"October 21, 22, 1924, Argued ; March 2, 1925, Decided",No. 100,1203
a1,Vandell v. United States,"Circuit Court of Appeals, Second Circuit",2-Mar-25,No. 100,1209
a1,Mission v. Richards,Court of Appeals of Texas,"June 10, 1925, Decided",No. 7379,1213
a1,McConnon & Co. v. Ralston,Court of Appeals of Texas,"June 18, 1925, Decided",No. 3098,1217
a1,Gano v. Delmas,"Supreme Court of Mississippi, Division B","October 19, 1925, Decided",No. 25035.,1220
a1,United States v. GE Co.,Supreme Court of the United States,"October 13, 1926, Argued ; November 23, 1926, Decided",No. 113,1227
a1,"Federal Baseball Club, Inc. v. National League of Professional Baseball Clubs",Supreme Court of the United States,"Argued April 19, 1922. ; May 29, 1922, Decided",No. 204.,1130
a2,Paterson Parchment Paper Co. v. Story Parchment Co.,"Circuit Court of Appeals, First Circuit",23-Jan-30,No. 2372,21
a2,Guiterman v. Pennsylvania R. Co.,"District Court, E.D. New York",31-Mar-31,No. 5382,30
a2,Ploog v. Roberts Dairy Co.,Supreme Court of Nebraska,"February 11, 1932, Filed",No. 28100.,39
a2,Independent Gas & Oil Co. v. T. B. Smith Co.,Supreme Court of Idaho,"April 1, 1932, Decided",No. 5777.,43
a2,CLOVER MEADOW CREAMERY v. NATIONAL DAIRY PRODS. CO.,"State of Ohio, Court of Common Pleas, Cuyahoga County","April 5, 1932, Decided",No Number in Original,51
a2,D?vila v. Dist. Court of Mayag?ez,Supreme Court of Puerto Rico,"March 9, 1931, Argued; May 27, 1932, Decided",No. 52.,67
a2,American Equipment Co. v. Tuthill Bldg. Material Co.,"Circuit Court of Appeals, Seventh Circuit",1-Feb-34,No. 4948,70
a2,Arrow-Hart & Hegeman Electric Co. v. FTC,Supreme Court of the United States,"February 8, 1934, Argued ; March 12, 1934, Decided",No. 363,76
a2,United Theatres v. Dist. Court of San Juan,Supreme Court of Puerto Rico,"July 20, 1934, Argued; December 10, 1934, Decided",No. 986.,87
a2,Glass v. Hoblitzelle,"Court of Civil Appeals of Texas, Dallas","April 6, 1935, Decided",No. 11961,92
a2,"Wm. Filene's Sons Co. v. Fashion Originators' Guild, Inc.","District Court, D. Massachusetts",24-Mar-36,No. 4293,101
a2,"Virginian R. Co. v. System Federation No. 40, etc.","Circuit Court of Appeals, Fourth Circuit",18-Jun-36,No. 4005,110
a2,Puerto Rico v. Shell Co.,Supreme Court of the United States,"November 9, 1937, Argued ; December 6, 1937, Decided",No. 18,129
a2,"Blake v. Paramount Pictures, Inc.","District Court, S.D. California, Central Division",31-Jan-38,No. 8173-Y,145
a2,General Talking Pictures Corp. v. De Marce,Supreme Court of Minnesota,"May 27, 1938.","No. 31,302.",152
a2,Twin Ports Oil Co. v. Pure Oil Co.,"District Court, D. Minnesota, Fourth Division",25-Jan-39,No. 4000,158
a2,"H. Lipman & Sons v. Brotherhood of Painters, etc.","Court of Appeals of Ohio, First Appellate District, Hamilton County","July 3, 1939, Decided",No Number in Original,174
a2,United States v. American Medical Asso.,District Court of the United States for the District of Columbia,26-Jul-39,No. 63221,182
a2,People v. Shell Co. P.R.,Supreme Court of Puerto Rico,"May 12, 1939, Argued; February 6, 1940, Decided",No. 7482.,187
a2,Lechler Labs. v. Duart Mfg. Co.,United States District Court for the Southern District of New York,1-Oct-40,No Number in Original,195
a2,United States v. ALCOA,United States District Court for the Southern District of New York,"September 30, 1941; October 1-10, 1941",Eq. No. 85-73,198
a2,United States v. ALCOA,United States District Court for the Southern District of New York,"September 30, 1941; October 1-10, 1941",Eq. No. 85-73,286
a2,United States v. ALCOA,United States District Court for the Souther District of New York,"September 30, 1941; October 1-10, 1941",Eq. No. 85-73,378
a2,Leonard v. Socony-Vacuum Oil Co.,"District Court, W.D. Wisconsin",8-Jan-42,No. 132,441
a2,Roseland v. Phister Mfg. Co.,United States Court of Appeals for the Seventh Circuit,5-Feb-42,No. 7778,444
a2,United States v. Atlantic Com. Co.,"District Court, E.D. North Carolina, Wilson Division",14-May-42,No. 1710,448
a2,American Medical Ass'n v. United States,United States Court of Appeals for the District of Columbia,15-Jun-42,"Nos. 7929, 7930",458
a2,Martin Bros. Box Co. v. Commissioner,United States Tax Court,22-Apr-43,Docket No. 110397.,478
a2,United States v. New York Great Atlantic & Pacific Tea Co.,United States Court of Appeals for the Fifth Circuit,30-Jul-43,No. 10603,485
a2,United States v. W. Union Tel. Co.,United States District Court for the Southern District of New York,16-Sep-43,No Number in Original,498
a2,United States v. Spokane Fuel Dealers Credit Asso.,"District Court, E.D. Washington, N.D.",17-Apr-44,No. C-7641,514
a2,Cummer-Graham Co. v. Straight Side Basket Corp.,United States Court of Appeals for the Fifth Circuit,9-May-44,No. 10756,520
a2,United States v. South-Eastern Underwriters Ass'n,Supreme Court of the United States,"January 11, 1944, Argued ; June 5, 1944, Decided",No. 354,524
a2,United States v. San Francisco Electrical Contractors Ass'n,"District Court, N.D. California, S.D.",5-Sep-44,No. 26893-R,559
a2,United States v. Crescent Amusement Co.,Supreme Court of the United States,"November 6, 7, 1944, Argued ; December 11, 1944, Decided",Nos. 17; 18,573
a2,Hartford-Empire Co. v. United States,Supreme Court of the United States,"November 15, 16, 17, 18, 1943, Argued ; January 8, 1945, Decided",No. 2,589
a2,Hartford-Empire Co. v. United States,Supreme Court of the United States,"April 2, 1945, Decided",No. 2,630
a2,Harper v. Brennan,Supreme Court of Michigan,"Submitted June 14, 1944.  Calendar No. 42,749.  ; Decided May 14, 1945.  Rehearing denied June 29, 1945.",Docket No. 58,638
a2,United States Alkali Export Ass'n v. United States,Supreme Court of the United States,"May 1, 2, 1945, Argued ; May 21, 1945, Decided",No. 1016,659
a2,Philadelphia Record Co. v. Manufacturing Photo-Engravers Ass'n,United States Court of Appeals for the Third Circuit,"March 18, 1946, Argued ; May 17, 1946, Decided",No. 9082,675
a2,United States v. United States Gypsum Co.,United States District Court for the District of Columbia,15-Jun-46,Civil No. 8017,681
a2,Hercules Powder Co. v. Rohm & Haas Co.,United States District Court for the District of Delaware,9-Jul-46,Civ. A. No. 301,799
a2,MacGregor v. Westinghouse Electric & Mfg. Co.,Supreme Court of the United States,"November 14, 1946, Reargued ; January 6, 1947, Decided",No. 28,811
a2,Transparent-Wrap Machine Corp. v. Stokes & Smith Co.,Supreme Court of the United States,"January 7, 8, 1947, Argued ; February 3, 1947, Decided",No. 208,819
a2,State ex rel. Cullitan v. Greater Cleveland Livery Owners Ass'n,"State of Ohio, Court of Common Pleas, Cuyahoga County","April 2, 1947, Decided","No. 568,635",830
a2,Clayton v. Farish,"Supreme Court of New York, Special Term, New York County",29-Aug-47,No Number in Original,837
a2,Std. Oil Co. v. Clark,United States Court of Appeals for the Second Circuit,22-Sep-47,"No. 185, Docket 20406",856
a2,United States v. Griffith,Supreme Court of the United States,"December 15, 1947, Argued ; May 3, 1948, Decided",No. 64,876
a2,"United States v. National City Lines, Inc.",Supreme Court of the United States,"April 28, 1948, Argued ; June 7, 1948, Decided",No. 544,886
a2,Mayer Bros. Poultry Farms v. Meltzer,"Supreme Court of New York, Appellate Division First Department",30-Jun-48,No Number in Original,905
a2,"Burnham Chemical Co. v. Borax Consol., Ltd.",United States Court of Appeals for the Ninth Circuit,27-Oct-48,No. 11766,917
a2,United States v. Yellow Cab Co.,"United States District Court for the Northern District of Illinois, Eastern Division",1-Nov-48,No. 46 C 1339,928
a2,Ford Motor Co. v. United States,Supreme Court of the United States,"October 11, 1948, Argued ; November 15, 1948, Decided",No. 1,936
a2,United States v. GE,United States District Court for the District of New Jersey,19-Jan-49,Civ. A. No.  1364,956
a2,North American Philips Co. v. Brownshield,United States District Court for the Southern District of New York,31-Jan-49,No Number in Original,1009
a2,Rosner v. Globe Valve Corp.,"Supreme Court of New York, Appellate Division First Department",29-Mar-49,No Number in Original,1013
a2,Giboney v. Empire Storage & Ice Co.,Supreme Court of the United States,"January 4, 1949, Argued ; April 4, 1949, Decided",No. 182,1016
a2,Standard Oil Co. v. United States,Supreme Court of the United States,"March 3-4, 1949, Argued ; June 13, 1949, Decided",No. 279,1027
a2,"Davis Co. v. Baker-Cammack Hosiery Mills, Inc.",United States District Court for the Middle District of North Carolina,12-Aug-49,"Civ. Nos. 342, 401",1046
a2,United States v. United States Alkali Export Ass'n,United States District Court for the Southern District of New York,12-Aug-49,Civ. No. 24-464,1054
a2,United States v. Inter-Island Steam Nav. Co.,United States District Court for the District of Hawaii,10-Jan-50,No. 887,1078
a2,"Superior Dairy, Inc. v. Stark County Milk Producers' Ass'n","Court of Appeals of Ohio, Fifth Appellate District, Stark County","June 14, 1950, Decided",No. 2397,1094
a2,Forstmann Woolen Co. v. Murray Sices Corp.,United States District Court for the Southern District of New York,26-Jun-50,Civ. No. 52-124,1102
a2,"Paramount Pictures, Inc. v. Rodney",United States Court of Appeals for the Third Circuit,"June 7, 1950, Argued ; December 6, 1950, Decided",Nos. 10174-10177,1107
a2,Staebler-Kempf Oil Co. v. Mac's Auto. Mart,Supreme Court of Michigan,"October 10, 1950, Submitted; Calendar No. 44,844;  January 8, 1951, Decided",Docket No. 66,1117
a2,Bucky v. Sebo,"Supreme Court of New York, Special Term, New York County",11-Jan-51,No Number in Original,1121
a2,General Electric Co. v. R. H. Macy & Co.,"Supreme Court of New York, Special Term, New York County",16-Jan-51,No Number in Original,1125
a2,"Best Motor Lines v. International Brotherhood of Teamsters, etc.",Supreme Court of Texas,"February 21, 1951, Decided",No. A-2739,1135
a2,"American Can Co. v. Bruce's Juices, Inc.",United States Court of Appeals for the Fifth Circuit,30-Mar-51,No. 13037,1149
a2,"Glen Raven Knitting Mills, Inc. v. Sanson Hosiery Mills, Inc.",United States Court of Appeals for the Fourth Circuit,"April 6, 1951, Argued ; May 11, 1951, Decided",No. 6218,1155
a2,Moore v. Mead Service Co.,United States Court of Appeals for the Tenth Circuit,26-Jun-51,No. 4055,1165
a2,State v. Fairbanks-Morse & Co.,Court of Civil Appeals of Texas,"March 7, 1952; Original Opinion October 26, 1951",No. 14401,1170
a2,SCHWARZ v. GAF,"Supreme Court of New York, Appellate Division, Fourth Department",22-Apr-52,No Number in Original,1181
a2,Elgin Nat. Watch Co. v. Bulova Watch Co.,"Supreme Court of New York, Special Term, New York County",21-May-52,No Number in Original,1186
a2,Interborough News Co. v. Curtis Publ. Co.,United States District Court for the Southern District of New York.,"July 1, 1952.",Civil 54-209.,1189
a2,"Apgar Travel Agency, Inc. v. International Air Transport Ass'n",United States District Court for the Southern District of New York,2-Oct-52,Civ. 69-363,1192
a2,"National Used Car Market Report, Inc. v. National Auto. Dealers Ass'n",United States Court of Appeals for the District of Columbia Circuit,"October 20, 1952, Argued ; November 20, 1952, Decided",No. 11390,1202
a2,Reid v. Doubleday & Co.,"United States District Court for the Northern District of Ohio, Western Division",30-Dec-52,Civ. 6718,1205
a2,Singer v. Hollander & Son,United States Court of Appeals for the Third Circuit,"December 19, 1952, Argued ; January 27, 1953, Decided",No. 10855,1217
a2,People v. Bldg. Maint. Contractors Ass'n,"Court of Appeal of California, First Appellate District, Division One","March 3, 1953, Filed","No. 14,868",1224
a2,Obear-Nester Glass Co. v. Commissioner,United States Tax Court,"September 30, 1953, Promulgated",Docket No. 36271,1239
a2,United States v. Detroit Sheet Metal & Roofing Contractors Asso.,United States District Court for the Eastern District of Michigan,13-Oct-53,Crim. A. No. 33452,1248
a2,United States v. Morgan,United States District Court for the Southern District of New York,"October 14, 1953.",Civ. A. No. 43-757.,1258
a2,"Leonia Amusement Corp. v. Loew's, Inc.",United States District Court for the Southern District of New York,20-Oct-53,No Number in Original,1359
a2,Ex parte Rice,Supreme Court of Alabama,"October 29, 1953, Decided",5 Div. 562.,1377
a2,United States v. E. I. du Pont de Nemours & Co.,United States District Court for the District of Delaware,"December 14, 1953.",Civ. A. 1216.,1386
a2,United States v. E. I. du Pont de Nemours & Co.,United States District Court for the District of Delaware,"December 14, 1953.",Civ. A. 1216.,1497
a2,Las Vegas Merchant Plumbers Asso. v. United States,United States Court of Appeals for the Ninth Circuit,1-Feb-54,No. 13218,1607
a2,Apex Elec. Mfg. Co. v. Altorfer Bros. Co.,"United States District Court for the Southern District of Illinois, Northern Division",10-Jan-55,"Nos. P-1258, P-1259",1626
a2,United States v. International Boxing Club,Supreme Court of the United States,"November 10, 1954, Argued ; January 31, 1955, Decided",No. 53,1634
a2,International Brotherhood of Electrical Workers v. United States,United States Court of Appeals for the Sixth Circuit,24-Feb-55,No. 12262,1645
a2,Lyons v. Westinghouse Electric Corp.,United States Court of Appeals for the Second Circuit,"January 3, 1955, Argued ; March 29, 1955, Decided","Docket 23312, 23325",1648
a2,Karseal Corp. v. Richfield Oil Corp.,United States Court of Appeals for the Ninth Circuit,7-Apr-55,No. 13856,1660
a2,"State ex rel. Dalton v. Miles Laboratories, Inc.",Supreme Court of Missouri,10-Oct-55,No. 42152,1669
a2,United States v. Twentieth Century-Fox Film Corp.,"United States District Court for the Southern District of California, Central Division",5-Dec-55,No. 14354,1684
a2,Gomberg v. Midvale Co.,United States District Court for the Eastern District of Pennsylvania,30-Dec-55,"Civ. A. Nos. 20012, 20019",1740
a2,Eastman Kodak Co. v. Home Utilities Co.,United States District Court for the District of Maryland,14-Feb-56,Civ. No. 8379,1750
a2,United States v. Crown Zellerbach Corp.,United States District Court for the Northern District of Illinois,11-Apr-56,No. 55 C 1480,1765
a2,United States v. Greater Kansas City Chapter Nat'l Electrical Contractors Asso.,"United States District Court for the Western District of Missouri, Southern Division",18-Jan-49,No. 5287,951
a2,"H. E. Swezey & Son Motor Transp., Inc. v. Reich Bros. Long Island Motor Freight, Inc.","Supreme Court of New York, Special Term, Suffolk County",23-Jul-46,No Number in Original,807
a3,United States v. Northern P. R. Co.,"United States District Court for the Western District of Washington, Northern Division",23-Jun-56,No. 2277,21
a3,"Adams Dairy, Inc. v. Burke",Supreme Court of Missouri Division 2,9-Jul-56,No. 44965,28
a3,United States v. Krasnov,United States District Court for the Eastern District of Pennsylvania,30-Jul-56,Civ. A. No. 11024,41
a3,Newburgh Moire Co. v. Superior Moire Co.,United States Court of Appeals for the Third Circuit,"April 16, 1956, Submitted ; September 26, 1956, Decided",No. 11871,59
a3,County Theatre Co. v. Paramount Film Distributing Corp.,United States District Court for the Eastern District of Pennsylvania,4-Oct-56,Civ. A. No. 21133,69
a3,Nashville Milk Co. v. Carnation Co.,United States Court of Appeals for the Seventh Circuit,1-Nov-56,No. 11820,71
a3,Walder v. Paramount Publix Corp.,United States District Court for the Southern District of New York.,"December 17, 1956.",Civil 69-217.,76
a3,Ben Hur Coal Co. v. Wells,United States Court of Appeals for the Tenth Circuit,13-Feb-57,No. 5413,90
a3,Rossi v. McCloskey & Co.,United States District Court for the Eastern District of Pennsylvania,29-Mar-57,Civ. A. 19204,95
a3,General Electric Co. v. Masters Mail Order Co.,United States Court of Appeals for the Second Circuit,"December 4, 1956, Argued ; May 15, 1957, Decided","No. 198, Docket 24370",99
a3,G. D. Searle & Co. v. Institutional Drug Distribs.,"United States District Court for the Southern District of California, Central Division",20-May-57,No. 19884,111
a3,Hess v. Anderson,"United States District Court for the Southern District of California, Northern Division",24-May-57,Civ. No.  1708,121
a3,"Congress Bldg. Corp. v. Loew's, Inc.",United States Court of Appeals for the Seventh Circuit,31-May-57,No. 11941,140
a3,Sperry Rand Corp. v. Nassau Research & Dev. Assocs.,United States District Court for the Eastern District of New York,6-Jun-57,Civ. A. No. 16151,151
a3,"Farbenfabriken Bayer, A. G. v. Sterling Drug, Inc.",United States District Court for the District of New Jersey,15-Jul-57,Civ. No. 908-55,157
a3,A. B. C. Distributing Co. v. Distillers Distributing Corp.,"Court of Appeal of California, Second Appellate District, Division Two",4-Oct-57,Civ. No. 22084,162
a3,State by Clark v. Wolkoff,Supreme Court of Minnesota,4-Oct-57,"No. 37,025",178
a3,"Noerr Motor Freight, Inc. v. Eastern R. Presidents Conference",United States District Court for the Eastern District of Pennsylvania,10-Oct-57,Civ. A. No. 14715,191
a3,"Banana Distributors, Inc. v. United Fruit Co.",United States District Court for the Southern District of New York,12-Dec-57,Civil No. 87-361,252
a3,United States v. Bethlehem Steel Corp.,United States District Court for the Southern District of New York,13-Jan-58,Civil Action No. 115-328,263
